"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|NL","Without sequence","24.52","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|NL","Without sequence","25.03","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|NL","Without sequence","27.28","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|NL","Without sequence","30.0","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|NL","Without sequence","36.41","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|NL","Without sequence","30.0","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|NL","Without sequence","30.0","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|NL","Without sequence","35.0","",""
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|NL","Without sequence","32.07","",""
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|NL","Without sequence","36.8","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|NL","Without sequence","34.09","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|NL","Without sequence","34.5","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|NL","Without sequence","45.0","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|NL","Without sequence","44.52","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|NL","Without sequence","45.94","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|NL","Without sequence","41.7","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|NL","Without sequence","34.46","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|NL","Without sequence","39.75","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|NL","Without sequence","37.95","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|NL","Without sequence","33.1","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|NL","Without sequence","32.28","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|NL","Without sequence","31.18","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|NL","Without sequence","30.1","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|NL","Without sequence","29.96","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|NL","Without sequence","29.88","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|NL","Without sequence","30.38","",""
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|NL","Without sequence","31.15","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|NL","Without sequence","32.09","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|NL","Without sequence","34.27","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|NL","Without sequence","37.53","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|NL","Without sequence","38.99","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|NL","Without sequence","38.15","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|NL","Without sequence","35.37","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|NL","Without sequence","34.44","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|NL","Without sequence","36.1","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|NL","Without sequence","40.59","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|NL","Without sequence","44.68","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|NL","Without sequence","46.16","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|NL","Without sequence","43.17","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|NL","Without sequence","35.0","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|NL","Without sequence","33.79","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|NL","Without sequence","34.9","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|NL","Without sequence","31.0","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|NL","Without sequence","29.16","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|NL","Without sequence","29.0","",""
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|NL","Without sequence","29.08","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|NL","Without sequence","27.72","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|NL","Without sequence","27.03","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|NL","Without sequence","28.98","",""
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|NL","Without sequence","33.18","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|NL","Without sequence","43.13","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|NL","Without sequence","44.52","",""
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|NL","Without sequence","44.96","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|NL","Without sequence","44.0","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|NL","Without sequence","42.46","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|NL","Without sequence","41.3","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|NL","Without sequence","40.51","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|NL","Without sequence","41.22","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|NL","Without sequence","43.28","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|NL","Without sequence","43.68","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|NL","Without sequence","47.9","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|NL","Without sequence","48.91","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|NL","Without sequence","45.04","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|NL","Without sequence","40.0","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|NL","Without sequence","33.89","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|NL","Without sequence","33.58","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|NL","Without sequence","30.35","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|NL","Without sequence","30.0","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|NL","Without sequence","30.98","",""
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|NL","Without sequence","29.78","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|NL","Without sequence","29.0","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|NL","Without sequence","29.65","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|NL","Without sequence","31.79","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|NL","Without sequence","38.73","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|NL","Without sequence","49.01","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|NL","Without sequence","51.09","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|NL","Without sequence","51.12","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|NL","Without sequence","49.83","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|NL","Without sequence","49.16","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|NL","Without sequence","48.43","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|NL","Without sequence","47.99","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|NL","Without sequence","46.22","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|NL","Without sequence","43.1","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|NL","Without sequence","45.9","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|NL","Without sequence","47.96","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|NL","Without sequence","48.11","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|NL","Without sequence","40.89","",""
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|NL","Without sequence","30.1","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|NL","Without sequence","32.93","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|NL","Without sequence","31.0","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|NL","Without sequence","31.3","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|NL","Without sequence","25.27","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|NL","Without sequence","25.77","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|NL","Without sequence","23.24","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|NL","Without sequence","19.76","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|NL","Without sequence","19.28","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|NL","Without sequence","23.86","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|NL","Without sequence","27.7","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|NL","Without sequence","40.07","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|NL","Without sequence","42.66","",""
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|NL","Without sequence","44.21","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|NL","Without sequence","46.17","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|NL","Without sequence","46.18","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|NL","Without sequence","46.85","",""
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|NL","Without sequence","44.9","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|NL","Without sequence","46.04","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|NL","Without sequence","46.33","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|NL","Without sequence","47.9","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|NL","Without sequence","58.92","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|NL","Without sequence","55.92","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|NL","Without sequence","56.67","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|NL","Without sequence","48.1","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|NL","Without sequence","44.92","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|NL","Without sequence","41.51","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|NL","Without sequence","39.41","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|NL","Without sequence","34.08","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|NL","Without sequence","32.2","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|NL","Without sequence","32.56","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|NL","Without sequence","32.11","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|NL","Without sequence","29.0","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|NL","Without sequence","29.0","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|NL","Without sequence","35.28","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|NL","Without sequence","46.5","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|NL","Without sequence","47.85","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|NL","Without sequence","45.68","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|NL","Without sequence","43.61","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|NL","Without sequence","40.0","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|NL","Without sequence","37.06","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|NL","Without sequence","34.04","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|NL","Without sequence","32.9","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|NL","Without sequence","32.54","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|NL","Without sequence","33.21","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|NL","Without sequence","42.93","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|NL","Without sequence","45.86","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|NL","Without sequence","41.03","",""
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|NL","Without sequence","32.96","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|NL","Without sequence","30.9","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|NL","Without sequence","31.02","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|NL","Without sequence","29.7","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|NL","Without sequence","28.0","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|NL","Without sequence","27.6","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|NL","Without sequence","28.12","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|NL","Without sequence","26.75","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|NL","Without sequence","27.07","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|NL","Without sequence","27.95","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|NL","Without sequence","29.18","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|NL","Without sequence","43.29","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|NL","Without sequence","47.4","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|NL","Without sequence","53.63","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|NL","Without sequence","54.33","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|NL","Without sequence","50.39","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|NL","Without sequence","42.56","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|NL","Without sequence","37.71","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|NL","Without sequence","37.27","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|NL","Without sequence","37.73","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|NL","Without sequence","42.69","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|NL","Without sequence","48.94","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|NL","Without sequence","52.0","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|NL","Without sequence","47.68","",""
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|NL","Without sequence","45.03","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|NL","Without sequence","41.29","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|NL","Without sequence","39.9","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|NL","Without sequence","33.04","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|NL","Without sequence","35.01","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|NL","Without sequence","34.0","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|NL","Without sequence","31.43","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|NL","Without sequence","29.14","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|NL","Without sequence","28.84","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|NL","Without sequence","28.43","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|NL","Without sequence","28.85","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|NL","Without sequence","30.29","",""
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|NL","Without sequence","35.68","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|NL","Without sequence","40.0","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|NL","Without sequence","37.97","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|NL","Without sequence","37.9","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|NL","Without sequence","34.7","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|NL","Without sequence","32.98","",""
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","BZN|NL","Without sequence","31.45","",""
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","BZN|NL","Without sequence","32.25","",""
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","BZN|NL","Without sequence","32.55","",""
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","BZN|NL","Without sequence","40.62","",""
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","BZN|NL","Without sequence","44.5","",""
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","BZN|NL","Without sequence","33.76","",""
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","BZN|NL","Without sequence","32.0","",""
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","BZN|NL","Without sequence","28.39","",""
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","BZN|NL","Without sequence","29.9","",""
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","BZN|NL","Without sequence","26.5","",""
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","BZN|NL","Without sequence","25.26","",""
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","BZN|NL","Without sequence","23.79","",""
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","BZN|NL","Without sequence","25.1","",""
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","BZN|NL","Without sequence","23.75","",""
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","BZN|NL","Without sequence","23.31","",""
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","BZN|NL","Without sequence","23.58","",""
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","BZN|NL","Without sequence","24.9","",""
